2024-12-27 01:14:09, 2024-12-27 01:14:09, BACKUP, STARTED, uploads, 0
2024-12-27 01:14:11, 2024-12-27 01:14:11, BACKUP, STARTED, uploads, 0
2024-12-27 01:14:11, 2024-12-27 01:14:11, BACKUP, STARTED, uploads, 0
2024-12-27 01:14:11, 2024-12-27 01:14:11, BACKUP, STARTED, uploads, 0
2024-12-27 01:14:11, 2024-12-27 01:14:11, BACKUP, STARTED, uploads, 0
2024-12-27 01:14:11, 2024-12-27 01:14:11, BACKUP, STARTED, uploads, 0
2024-12-27 01:14:37, 2024-12-27 01:14:37, BACKUP, STARTED, uploads, 0
2024-12-27 01:14:37, 2024-12-27 01:14:37, BACKUP, SUCCESS - File Odev3.pdf backed up, uploads, 1416483 bytes
2024-12-27 01:14:38, 2024-12-27 01:14:38, BACKUP, SUCCESS - File YAZILIM_GELISTIRME_I_-_PROJE_II.pdf backed up, uploads, 83660 bytes
2024-12-27 01:14:39, 2024-12-27 01:14:39, BACKUP, STARTED, uploads, 0
2024-12-27 01:14:39, 2024-12-27 01:14:39, BACKUP, SUCCESS - File Odev3.pdf backed up, uploads, 1416483 bytes
2024-12-27 01:14:39, 2024-12-27 01:14:39, BACKUP, STARTED, uploads, 0
2024-12-27 01:14:39, 2024-12-27 01:14:39, BACKUP, SUCCESS - File Odev3.pdf backed up, uploads, 1416483 bytes
2024-12-27 01:14:39, 2024-12-27 01:14:39, BACKUP, STARTED, uploads, 0
2024-12-27 01:14:39, 2024-12-27 01:14:39, BACKUP, SUCCESS - File Odev3.pdf backed up, uploads, 1416483 bytes
2024-12-27 01:14:39, 2024-12-27 01:14:39, BACKUP, SUCCESS - File YAZILIM_GELISTIRME_I_-_PROJE_II.pdf backed up, uploads, 83660 bytes
2024-12-27 01:14:39, 2024-12-27 01:14:39, BACKUP, SUCCESS - File YAZILIM_GELISTIRME_I_-_PROJE_II.pdf backed up, uploads, 83660 bytes
2024-12-27 01:14:39, 2024-12-27 01:14:39, BACKUP, SUCCESS - File YAZILIM_GELISTIRME_I_-_PROJE_II.pdf backed up, uploads, 83660 bytes
2024-12-27 01:14:39, 2024-12-27 01:14:39, BACKUP, STARTED, uploads, 0
2024-12-27 01:14:39, 2024-12-27 01:14:39, BACKUP, SUCCESS - File Odev3.pdf backed up, uploads, 1416483 bytes
2024-12-27 01:14:39, 2024-12-27 01:14:39, BACKUP, STARTED, uploads, 0
2024-12-27 01:14:39, 2024-12-27 01:14:39, BACKUP, SUCCESS - File Odev3.pdf backed up, uploads, 1416483 bytes
2024-12-27 01:14:39, 2024-12-27 01:14:39, BACKUP, SUCCESS - File YAZILIM_GELISTIRME_I_-_PROJE_II.pdf backed up, uploads, 83660 bytes
2024-12-27 01:14:39, 2024-12-27 01:14:39, BACKUP, SUCCESS - File YAZILIM_GELISTIRME_I_-_PROJE_II.pdf backed up, uploads, 83660 bytes
2024-12-27 01:14:44, 2024-12-27 01:14:44, BACKUP, STARTED, uploads, 0
2024-12-27 01:14:44, 2024-12-27 01:14:44, BACKUP, SUCCESS - File Odev3.pdf backed up, uploads, 1416483 bytes
2024-12-27 01:14:44, 2024-12-27 01:14:44, BACKUP, SUCCESS - File YAZILIM_GELISTIRME_I_-_PROJE_II.pdf backed up, uploads, 83660 bytes
2024-12-27 01:14:45, 2024-12-27 01:14:45, BACKUP, STARTED, uploads, 0
2024-12-27 01:14:45, 2024-12-27 01:14:45, BACKUP, SUCCESS - File Odev3.pdf backed up, uploads, 1416483 bytes
2024-12-27 01:14:45, 2024-12-27 01:14:45, BACKUP, STARTED, uploads, 0
2024-12-27 01:14:45, 2024-12-27 01:14:45, BACKUP, SUCCESS - File Odev3.pdf backed up, uploads, 1416483 bytes
2024-12-27 01:14:45, 2024-12-27 01:14:45, BACKUP, STARTED, uploads, 0
2024-12-27 01:14:45, 2024-12-27 01:14:45, BACKUP, SUCCESS - File Odev3.pdf backed up, uploads, 1416483 bytes
2024-12-27 01:14:45, 2024-12-27 01:14:45, BACKUP, SUCCESS - File YAZILIM_GELISTIRME_I_-_PROJE_II.pdf backed up, uploads, 83660 bytes
2024-12-27 01:14:45, 2024-12-27 01:14:45, BACKUP, SUCCESS - File YAZILIM_GELISTIRME_I_-_PROJE_II.pdf backed up, uploads, 83660 bytes
2024-12-27 01:14:45, 2024-12-27 01:14:45, BACKUP, SUCCESS - File YAZILIM_GELISTIRME_I_-_PROJE_II.pdf backed up, uploads, 83660 bytes
2024-12-27 01:14:46, 2024-12-27 01:14:46, BACKUP, STARTED, uploads, 0
2024-12-27 01:14:46, 2024-12-27 01:14:46, BACKUP, SUCCESS - File Odev3.pdf backed up, uploads, 1416483 bytes
2024-12-27 01:14:46, 2024-12-27 01:14:46, BACKUP, STARTED, uploads, 0
2024-12-27 01:14:46, 2024-12-27 01:14:46, BACKUP, SUCCESS - File Odev3.pdf backed up, uploads, 1416483 bytes
2024-12-27 01:14:46, 2024-12-27 01:14:46, BACKUP, SUCCESS - File YAZILIM_GELISTIRME_I_-_PROJE_II.pdf backed up, uploads, 83660 bytes
2024-12-27 01:14:46, 2024-12-27 01:14:46, BACKUP, SUCCESS - File YAZILIM_GELISTIRME_I_-_PROJE_II.pdf backed up, uploads, 83660 bytes
2024-12-27 01:15:08, 2024-12-27 01:15:08, BACKUP, STARTED, uploads, 0
2024-12-27 01:15:08, 2024-12-27 01:15:08, BACKUP, SUCCESS - File Odev3.pdf backed up, uploads, 1416483 bytes
2024-12-27 01:15:08, 2024-12-27 01:15:08, BACKUP, SUCCESS - File YAZILIM_GELISTIRME_I_-_PROJE_II.pdf backed up, uploads, 83660 bytes
2024-12-27 01:15:08, 2024-12-27 01:15:08, BACKUP, COMPLETED, uploads, 2 files
2024-12-27 01:15:09, 2024-12-27 01:15:09, BACKUP, STARTED, uploads, 0
2024-12-27 01:15:09, 2024-12-27 01:15:09, BACKUP, STARTED, uploads, 0
2024-12-27 01:15:09, 2024-12-27 01:15:09, BACKUP, SUCCESS - File Odev3.pdf backed up, uploads, 1416483 bytes
2024-12-27 01:15:09, 2024-12-27 01:15:09, BACKUP, SUCCESS - File Odev3.pdf backed up, uploads, 1416483 bytes
2024-12-27 01:15:09, 2024-12-27 01:15:09, BACKUP, STARTED, uploads, 0
2024-12-27 01:15:09, 2024-12-27 01:15:09, BACKUP, SUCCESS - File Odev3.pdf backed up, uploads, 1416483 bytes
2024-12-27 01:15:09, 2024-12-27 01:15:09, BACKUP, SUCCESS - File YAZILIM_GELISTIRME_I_-_PROJE_II.pdf backed up, uploads, 83660 bytes
2024-12-27 01:15:09, 2024-12-27 01:15:09, BACKUP, SUCCESS - File YAZILIM_GELISTIRME_I_-_PROJE_II.pdf backed up, uploads, 83660 bytes
2024-12-27 01:15:09, 2024-12-27 01:15:09, BACKUP, SUCCESS - File YAZILIM_GELISTIRME_I_-_PROJE_II.pdf backed up, uploads, 83660 bytes
2024-12-27 01:15:09, 2024-12-27 01:15:09, BACKUP, COMPLETED, uploads, 2 files
2024-12-27 01:15:09, 2024-12-27 01:15:09, BACKUP, COMPLETED, uploads, 2 files
2024-12-27 01:15:09, 2024-12-27 01:15:09, BACKUP, COMPLETED, uploads, 2 files
2024-12-27 01:15:09, 2024-12-27 01:15:09, BACKUP, STARTED, uploads, 0
2024-12-27 01:15:09, 2024-12-27 01:15:09, BACKUP, STARTED, uploads, 0
2024-12-27 01:15:09, 2024-12-27 01:15:09, BACKUP, SUCCESS - File Odev3.pdf backed up, uploads, 1416483 bytes
2024-12-27 01:15:09, 2024-12-27 01:15:09, BACKUP, SUCCESS - File Odev3.pdf backed up, uploads, 1416483 bytes
2024-12-27 01:15:10, 2024-12-27 01:15:10, BACKUP, SUCCESS - File YAZILIM_GELISTIRME_I_-_PROJE_II.pdf backed up, uploads, 83660 bytes
2024-12-27 01:15:10, 2024-12-27 01:15:10, BACKUP, SUCCESS - File YAZILIM_GELISTIRME_I_-_PROJE_II.pdf backed up, uploads, 83660 bytes
2024-12-27 01:15:10, 2024-12-27 01:15:10, BACKUP, COMPLETED, uploads, 2 files
2024-12-27 01:15:10, 2024-12-27 01:15:10, BACKUP, COMPLETED, uploads, 2 files
2024-12-27 01:15:38, 2024-12-27 01:15:38, BACKUP, STARTED, uploads, 0
2024-12-27 01:15:38, 2024-12-27 01:15:38, BACKUP, SUCCESS - File Odev3.pdf backed up, uploads, 1416483 bytes
2024-12-27 01:15:38, 2024-12-27 01:15:38, BACKUP, STARTED, uploads, 0
